register,name_from_d_map,unit,type,scale,part_of,sram_e3,note
34000,pack1_bat_volt,V,u16,x1,,0x20014FAC,Pack-Struct Stride 0x60 / Alias 30100 | FW-BELEG 2026-08-16: BMS_Debug_PerPack_Detail_Print bestaetigt Feld 'Bat Volt' (
34001,pack1_bat_curr,A,i16,x1,,0x20014FAE,Pack-Struct Stride 0x60 / Alias 30101 | FW-BELEG 2026-08-16: BMS_Debug_PerPack_Detail_Print bestaetigt Feld 'Bat Curr' (
34004,pack1_mos_status,,u8,x1,,0x20014FBA,Pack1-Struct +0x0e (u8). BMS-FW 'Chg Mos/Dsg Mos' / BESTAETIGT durch Live-Scans (Wertebereich 0..3 = genau 2 Flags) | FW
34005,pack1_max_cell_voltage,V,u16,x1,,0x20014FBC,Rohwert in mV / Alias 30102/37007 | FW-BELEG 2026-08-16: BMS_Debug_PerPack_Detail_Print bestaetigt Feld 'Max Cell' (BMS 
34006,pack1_min_cell_voltage,V,u16,x1,,0x20014FBE,Rohwert in mV / Alias 30103/37008 | FW-BELEG 2026-08-16: BMS_Debug_PerPack_Detail_Print bestaetigt Feld 'Min Cell' (BMS 
34007,pack1_protect1,,i16,x1,,0x20014FC4,"Pack+0x18. KORRIGIERT 2026-08-16: BMS CAN_TX_PerPack_10Msgs Frame 0x23 Byte0-1 = Protect1 (Schutz-Bitmaske 1), NICHT sta"
34008,pack1_protect2,,u16,x1,,0x20014FC6,Pack+0x1a. KORRIGIERT 2026-08-16: Frame 0x23 Byte2-3 = Protect2 (Schutz-Bitmaske 2). War faelschlich protect1.
34009,pack1_bms_reserved_5a,,u16,x1,,0x20014FC8,"Pack+0x1c. KORRIGIERT 2026-08-16: Frame 0x23 Byte4-5 = BMS-Struct-Feld @+0x5a (im BMS-Debug-Print NICHT benannt, Live ~0"
34010,pack1_bms_version,,u16,x1,,0x20014FCA,Pack1-Struct +0x1e. BESTAETIGT durch Live-Scans (Werte 116/118/1177 = BMS-FW-Versionen) | FW-BELEG 2026-08-16: BMS_Debug
34011,pack1_temp_1,°C,u16,x1,,0x20014FF6,Pack+0x4a. KORRIGIERT 2026-08-16: BMS Frame 0x41 Byte2-3 = ENV NTC (Umgebungstemperatur). Store-Handler CAN_Store_PerPac
34012,pack1_temp_2,°C,u16,x1,,0x20014FF8,Pack+0x4c. KORRIGIERT 2026-08-16: BMS Frame 0x41 Byte4-5 = MOS NTC (MOSFET-Temperatur). Faktor 0.1 degC.
34013,pack1_ntc_block,°C,u16,x1,,0x20014FEC,"Pack1-Struct +0x40, 4 Elemente -> 34013-34016. BESTAETIGT: BMS CAN-Gruppe 0x40 = 4 NTC / Live 11.6-36.1 degC"
34014,pack1_ntc_block[2],°C,u16,x1,34013,,Folgeregister 2/4 von 34013
34015,pack1_ntc_block[3],°C,u16,x1,34013,,Folgeregister 3/4 von 34013
34016,pack1_ntc_block[4],°C,u16,x1,34013,,Folgeregister 4/4 von 34013
34017,pack1_ntc_unused,°C,u16,x1,,0x20014FFA,Pack+0x4e. GEKLAERT 2026-08-16: BMS Frame 0x41 Byte6-7 werden auf 0 gesetzt -> Register ist konstruktionsbedingt IMMER 0
35110,bms_charge_voltage_limit,V,u16,x1,,0x20014F96,CAN +0x10 pgn_1803 'chrg_volt(0.1V)'. Live 576=57.6V
35111,bms_charge_current_limit,A,u16,x1,,0x20014F98,Alias 32106
35112,bms_discharge_current_limit,A,u16,x1,,0x20014F9A,Alias 32107
37000,modbus_slave_address,,u8,x1,,0x20000133,
37001,status_block_offset8,,u16,x1,,0x2000014C,"Status-Block 0x20000144 +8. Writer Protocol_AA_SetDeviceParams (0x0802FC48), Leser Grid_Export_Power_Limiter -> Export-/"
37002,max_charge_power,W,u16,x1,,0x2000014E,Status-Block 0x20000144 +4
37003,max_discharge_power,W,u16,x1,,0x20000150,Status-Block 0x20000144 +6
37005,pack1_soc_scaled,%,u16,/10,,0x20014FB0,"gleiche Quelle wie 34002, aber FW teilt hier durch 10"
37006,pack1_max_cell_temp_mirror,°C,i16,x1,,0x20014FC0,"Alias 30104 (Pack1-Struct +0x14), hier ohne FW-x10. Alte Map: 'max_cell_temp_mirror'"
37009,block_34007_34008,,u16,x1,,0x20014FC4,2 Elemente -> Register 37009-37010 (= 34007/34008)
37010,block_34007_34008[2],,u16,x1,37009,,Folgeregister 2/2 von 37009
37011,block_34009_34010,,u16,x1,,0x20014FC8,2 Elemente -> 37011-37012 / 37012 = bms_version
37012,block_34009_34010[2],,u16,x1,37011,,Folgeregister 2/2 von 37011
37013,error_code1,,u32,x1,,0x20014E9C,Alias 36100 (error_code1 HIGH-Word)
37014,error_code1_w2,,u32,x1,37013,,Alias 36101 (error_code1 LOW-Word)
37015,error_code2,,u32,x1,,0x20014EA0,Alias 36102 (error_code2 HIGH-Word)
37016,error_code2_w2,,u32,x1,37015,,Alias 36103 (error_code2 LOW-Word)
37017,mppt1_power,W,u16,x1,,0x20014F50,"identische Quelle wie 30037 (Inverter-Struct +0x0c). Firmware-benannt: MPPT_Debug_Print @0x08036884, String 'PV1_Vol(0.1"
37018,mppt2_power,W,u16,x1,,0x20014F56,"identische Quelle wie 30038 (Inverter-Struct +0x12). Firmware-benannt: MPPT_Debug_Print @0x08036884, String 'PV2_Vol(0.1"
37019,mppt3_power,W,u16,x1,,0x20014F5C,"identische Quelle wie 30039 (Inverter-Struct +0x18). Firmware-benannt: MPPT_Debug_Print @0x08036884, String 'PV3_Vol(0.1"
37020,mppt4_power,W,u16,x1,,0x20014F62,"identische Quelle wie 30040 (Inverter-Struct +0x1e). Firmware-benannt: MPPT_Debug_Print @0x08036884, String 'PV4_Vol(0.1"
37021,pv_year_capacity,,u32,x1,,0x20014F70,"Inverter-Struct +0x2c 'PV_Year_Cap_10Wh' (u32, Einheit 10Wh). Tages-/Monats-Cap bei +0x20/+0x28 sind keine Register | DE"
37022,pv_year_capacity_w2,,u32,x1,37021,,Folgeregister 2/2 von 37021 | DEUTUNG WIDERLEGT 2026-08-22: Der Name 'PV_Year_Cap_10Wh' stammt aus einem Firmware-String
37023,mppt_error,,u16,x1,,0x20014F46,Inverter-Struct +0x02 'Mppt_Error'
37024,mppt_warning,,u16,x1,,0x20014F4A,Inverter-Struct +0x06 'Mppt_Warning'
38000,can40_w1,,i16,x1,,0x20000168,"CAN-Frame ID 0x40, Wort 1/4 -> Telemetry_Store_EnergyCounters, Ziel 0x20000168. Frame-Nutzdaten 1:1 als 16-Bit-Register "
38001,can40_w2,,u16,x1,,0x2000016A,"CAN-Frame ID 0x40, Wort 2/4 -> Telemetry_Store_EnergyCounters, Ziel 0x20000168. Frame-Nutzdaten 1:1 als 16-Bit-Register "
38002,can40_w3,,i16,x1,,0x2000016C,"CAN-Frame ID 0x40, Wort 3/4 -> Telemetry_Store_EnergyCounters, Ziel 0x20000168. Frame-Nutzdaten 1:1 als 16-Bit-Register "
38003,can40_w4,,u16,x1,,0x2000016E,"CAN-Frame ID 0x40, Wort 4/4 -> Telemetry_Store_EnergyCounters, Ziel 0x20000168. Frame-Nutzdaten 1:1 als 16-Bit-Register "
38004,can41_w1,,u16,x1,,0x20000170,"CAN-Frame ID 0x41, Wort 1/3 -> Telemetry_Store_EnergyCounters, Ziel 0x20000170. Frame-Nutzdaten 1:1 als 16-Bit-Register "
38005,can41_w2,,i16,x1,,0x20000172,"CAN-Frame ID 0x41, Wort 2/3 -> Telemetry_Store_EnergyCounters, Ziel 0x20000170. Frame-Nutzdaten 1:1 als 16-Bit-Register "
38006,can41_w3,,u16,x1,,0x20000174,"CAN-Frame ID 0x41, Wort 3/3 -> Telemetry_Store_EnergyCounters, Ziel 0x20000170. Frame-Nutzdaten 1:1 als 16-Bit-Register "
38007,can42_w1,,u16,x1,,0x20000176,"CAN-Frame ID 0x42, Wort 1/4 -> Telemetry_Store_EnergyCounters, Ziel 0x20000176. Frame-Nutzdaten 1:1 als 16-Bit-Register "
38008,can42_w2,,u16,x1,,0x20000178,"CAN-Frame ID 0x42, Wort 2/4 -> Telemetry_Store_EnergyCounters, Ziel 0x20000176. Frame-Nutzdaten 1:1 als 16-Bit-Register "
38009,can42_w3,,u16,x1,,0x2000017A,"CAN-Frame ID 0x42, Wort 3/4 -> Telemetry_Store_EnergyCounters, Ziel 0x20000176. Frame-Nutzdaten 1:1 als 16-Bit-Register "
38010,can42_w4,,u16,x1,,0x2000017C,"CAN-Frame ID 0x42, Wort 4/4 -> Telemetry_Store_EnergyCounters, Ziel 0x20000176. Frame-Nutzdaten 1:1 als 16-Bit-Register "
38011,can43_w1,,u16,x1,,0x2000017E,"CAN-Frame ID 0x43, Wort 1/4 -> Telemetry_Store_EnergyCounters, Ziel 0x2000017E. Frame-Nutzdaten 1:1 als 16-Bit-Register "
38012,can43_w2,,u16,x1,,0x20000180,"CAN-Frame ID 0x43, Wort 2/4 -> Telemetry_Store_EnergyCounters, Ziel 0x2000017E. Frame-Nutzdaten 1:1 als 16-Bit-Register "
38013,can43_w3,,u16,x1,,0x20000182,"CAN-Frame ID 0x43, Wort 3/4 -> Telemetry_Store_EnergyCounters, Ziel 0x2000017E. Frame-Nutzdaten 1:1 als 16-Bit-Register "
38014,can43_w4,,u16,x1,,0x20000184,"CAN-Frame ID 0x43, Wort 4/4 -> Telemetry_Store_EnergyCounters, Ziel 0x2000017E. Frame-Nutzdaten 1:1 als 16-Bit-Register "
